2002.08.20 18:23 B C:\WINDOWS\Desktop\TBH\Recent\kids\images\hunting\WHOOSH.WAV --> tarlserver.tarl.utexas.edu /Website Stuff/TBH Website Temp/kids/images/hunting WHOOSH.WAV
2005.06.19 11:28 B L:\TBH Website Temp\kids\images\hunting\WS_FTP.LOG <-- texasbeyondhistory /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting WS_FTP.LOG
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\Thumbs.db --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting Thumbs.db
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\WS_FTP.LOG --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting WS_FTP.LOG
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\WHOOSH.WAV --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting WHOOSH.WAV
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\top-shaw_jump.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting top-shaw_jump.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\top-seminole.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting top-seminole.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\top-mammoth.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting top-mammoth.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\top-huntingwAtlatl.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting top-huntingwAtlatl.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\top-arrow.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting top-arrow.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\spearheads-sm.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting spearheads-sm.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\spearheads-lg.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting spearheads-lg.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\spearhead.jpg --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting spearhead.jpg
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\spearhead.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting spearhead.html
2005.08.18 12:19 B L:\TBH Website Temp\kids\images\hunting\Shaw_butcher2.html --> uts.cc.utexas.edu /export/httpd/vhosts/texasbeyondhistory/data/kids/images/hunting Shaw_butcher2.html
